barrels08,comb08,VClass,year,youSaveSpend
14.98227273,22,Two Seaters,1984,-1750
21.974,15,Two Seaters,1984,-6250
18.31166667,18,Two Seaters,1984,-4000
16.4805,20,Two Seaters,1984,-2750
13.73375,24,Two Seaters,1984,-1000
12.20777778,27,Two Seaters,1984,0
23.54357143,14,Two Seaters,1984,-7500
23.54357143,14,Two Seaters,1984,-7500
19.38882353,17,Two Seaters,1984,-4750
19.38882353,17,Two Seaters,1984,-4750
17.34789474,19,Two Seaters,1984,-3250
13.73375,24,Two Seaters,1984,-1000
13.73375,24,Two Seaters,1984,-1000
20.600625,16,Minicompact Cars,1984,-5500
21.974,15,Minicompact Cars,1984,-6250
18.31166667,18,Minicompact Cars,1984,-4000
9.694411765,34,Minicompact Cars,1984,1750
15.69571429,21,Minicompact Cars,1984,-2250
36.62333333,9,Subcompact Cars,1984,-16000
41.20125,8,Subcompact Cars,1984,-19000
16.4805,20,Subcompact Cars,1984,-2750
17.34789474,19,Subcompact Cars,1984,-3250
15.69571429,21,Subcompact Cars,1984,-2250
18.31166667,18,Subcompact Cars,1984,-4000
14.33086957,23,Subcompact Cars,1984,-1250
16.4805,20,Subcompact Cars,1984,-2750
18.31166667,18,Subcompact Cars,1984,-4000
14.98227273,22,Subcompact Cars,1984,-1750
17.34789474,19,Subcompact Cars,1984,-3250
21.974,15,Subcompact Cars,1984,-6250
13.1844,25,Subcompact Cars,1984,-500
12.67730769,26,Subcompact Cars,1984,-250
12.20777778,27,Subcompact Cars,1984,0
10.61625,36,Subcompact Cars,1984,1250
14.98227273,22,Subcompact Cars,1984,-1750
14.98227273,22,Subcompact Cars,1984,-1750
15.69571429,21,Subcompact Cars,1984,-2250
17.34789474,19,Subcompact Cars,1984,-3250
15.69571429,21,Subcompact Cars,1984,-2250
10.987,30,Subcompact Cars,1984,750
10.987,30,Subcompact Cars,1984,750
9.321585366,41,Subcompact Cars,1984,2250
15.69571429,21,Subcompact Cars,1984,-2250
13.73375,24,Subcompact Cars,1984,-1000
13.1844,25,Subcompact Cars,1984,-500
19.38882353,17,Subcompact Cars,1984,-4750
17.34789474,19,Subcompact Cars,1984,-3250
14.33086957,23,Subcompact Cars,1984,-1250
9.694411765,34,Subcompact Cars,1984,1750
13.1844,25,Subcompact Cars,1984,-500
17.34789474,19,Subcompact Cars,1984,-3250
17.34789474,19,Subcompact Cars,1984,-3250
17.34789474,19,Subcompact Cars,1984,-3250
16.4805,20,Subcompact Cars,1984,-2750
15.69571429,21,Subcompact Cars,1984,-2250
17.34789474,19,Subcompact Cars,1984,-3250
12.67730769,26,Subcompact Cars,1984,-250
16.4805,20,Subcompact Cars,1984,-2750
17.34789474,19,Subcompact Cars,1984,-3250
19.38882353,17,Subcompact Cars,1984,-4750
11.77178571,28,Subcompact Cars,1984,250
13.1844,25,Subcompact Cars,1984,-500
14.33086957,23,Subcompact Cars,1984,-1250
14.98227273,22,Subcompact Cars,1984,-1750
14.33086957,23,Subcompact Cars,1984,-1250
10.91957143,35,Subcompact Cars,1984,1250
15.69571429,21,Subcompact Cars,1984,-2250
25.35461538,13,Subcompact Cars,1984,-8500
16.4805,20,Subcompact Cars,1984,-2750
17.34789474,19,Subcompact Cars,1984,-3250
20.600625,16,Subcompact Cars,1984,-5500
12.67730769,26,Subcompact Cars,1984,-250
10.987,30,Subcompact Cars,1984,750
13.64946429,28,Subcompact Cars,1984,-500
16.4805,20,Subcompact Cars,1984,-2750
14.33086957,23,Subcompact Cars,1984,-1250
13.1844,25,Subcompact Cars,1984,-500
10.63258065,31,Subcompact Cars,1984,1000
13.1844,25,Subcompact Cars,1984,-500
17.34789474,19,Subcompact Cars,1984,-3250
17.34789474,19,Subcompact Cars,1984,-3250
14.33086957,23,Subcompact Cars,1984,-1250
13.1844,25,Subcompact Cars,1984,-500
9.694411765,34,Subcompact Cars,1984,1750
13.1844,25,Subcompact Cars,1984,-500
17.34789474,19,Subcompact Cars,1984,-3250
17.34789474,19,Subcompact Cars,1984,-3250
14.33086957,23,Subcompact Cars,1984,-1250
14.98227273,22,Subcompact Cars,1984,-1750
15.69571429,21,Subcompact Cars,1984,-2250
17.34789474,19,Subcompact Cars,1984,-3250
19.38882353,17,Subcompact Cars,1984,-4750
12.67730769,26,Subcompact Cars,1984,-250
12.20777778,27,Subcompact Cars,1984,0
13.73375,24,Subcompact Cars,1984,-1000
14.98227273,22,Subcompact Cars,1984,-1750
